quote_date,underlying_last,expire_date,dte,c_last,strike,p_last
2021-01-04,129.45,2021-01-22,18.0,2.0,135.0,7.75
2021-01-04,129.45,2021-01-22,18.0,1.75,136.0,8.35
2021-01-04,129.45,2021-01-22,18.0,1.52,137.0,9.47
2021-01-04,129.45,2021-01-22,18.0,1.31,138.0,10.15
2021-01-04,129.45,2021-01-22,18.0,1.17,139.0,11.17
2021-01-04,129.45,2021-01-22,18.0,1.0,140.0,12.04
2021-01-04,129.45,2021-01-22,18.0,0.85,141.0,10.3
2021-01-04,129.45,2021-01-22,18.0,0.78,142.0,13.01
2021-01-04,129.45,2021-01-22,18.0,0.64,143.0,13.95
2021-01-04,129.45,2021-01-22,18.0,0.59,144.0,15.45
2021-01-04,129.45,2021-01-22,18.0,0.5,145.0,16.72
2021-01-04,129.45,2021-01-22,18.0,0.45,146.0,11.15
2021-01-04,129.45,2021-01-22,18.0,0.38,147.0,0.0
2021-01-04,129.45,2021-01-22,18.0,0.34,148.0,0.0
2021-01-04,129.45,2021-01-22,18.0,0.27,150.0,20.0
2021-01-04,129.45,2021-01-22,18.0,0.18,155.0,22.01
2021-01-04,129.45,2021-01-22,18.0,0.11,160.0,29.55
2021-01-04,129.45,2021-01-22,18.0,0.08,165.0,29.02
2021-01-04,129.45,2021-01-22,18.0,0.05,170.0,41.11
2021-01-04,129.45,2021-01-22,18.0,0.06,175.0,40.25
2021-01-04,129.45,2021-01-22,18.0,0.04,180.0,0.0
2021-01-04,129.45,2021-01-22,18.0,0.04,185.0,50.65
2021-01-04,129.45,2021-01-22,18.0,0.03,190.0,58.1
2021-01-04,129.45,2021-01-22,18.0,0.04,195.0,0.0
2021-01-04,129.45,2021-01-22,18.0,0.01,200.0,0.0
2021-01-04,129.45,2021-01-29,25.0,70.0,65.0,0.06
2021-01-04,129.45,2021-01-29,25.0,62.65,70.0,0.09
2021-01-04,129.45,2021-01-29,25.0,61.0,75.0,0.12
2021-01-04,129.45,2021-01-29,25.0,56.4,80.0,0.16
2021-01-04,129.45,2021-01-29,25.0,0.0,85.0,0.16
2021-01-04,129.45,2021-01-29,25.0,46.45,90.0,0.26
2021-01-04,129.45,2021-01-29,25.0,41.47,95.0,0.32
2021-01-04,129.45,2021-01-29,25.0,29.7,100.0,0.4
2021-01-04,129.45,2021-01-29,25.0,24.8,105.0,0.55
2021-01-04,129.45,2021-01-29,25.0,29.57,107.0,0.63
2021-01-04,129.45,2021-01-29,25.0,25.95,108.0,0.69
2021-01-04,129.45,2021-01-29,25.0,23.95,109.0,0.77
2021-01-04,129.45,2021-01-29,25.0,20.0,110.0,0.84
2021-01-04,129.45,2021-01-29,25.0,18.97,111.0,0.89
2021-01-04,129.45,2021-01-29,25.0,18.73,112.0,0.96
2021-01-04,129.45,2021-01-29,25.0,20.52,113.0,1.06
2021-01-04,129.45,2021-01-29,25.0,16.28,114.0,1.16
